time,line color,cell load
1900-01-01 22:55:00,Coverage Cell,3.4146341463414642
1900-01-01 22:50:00,Coverage Cell,3.2845528455284545
1900-01-01 22:45:00,Coverage Cell,3.1869918699186983
1900-01-01 23:00:00,Coverage Cell,3.219512195121952
1900-01-01 21:50:00,Coverage Cell,3.4146341463414642
1900-01-01 21:55:00,Coverage Cell,3.4146341463414642
1900-01-01 21:45:00,Coverage Cell,3.4146341463414642
1900-01-01 17:35:00,Coverage Cell,3.4146341463414642
1900-01-01 22:00:00,Coverage Cell,3.4471544715447155
1900-01-01 16:25:00,Coverage Cell,3.479674796747967
1900-01-02 06:45:00,Coverage Cell,3.5121951219512204
1900-01-01 22:15:00,Coverage Cell,3.5121951219512204
1900-01-01 22:10:00,Coverage Cell,3.4471544715447155
1900-01-01 22:05:00,Coverage Cell,3.4146341463414642
1900-01-01 22:20:00,Coverage Cell,3.5121951219512204
1900-01-02 00:45:00,Coverage Cell,3.317073170731708
1900-01-02 00:50:00,Coverage Cell,3.2845528455284545
1900-01-01 23:35:00,Coverage Cell,3.5447154471544717
1900-01-01 23:30:00,Coverage Cell,3.5121951219512204
1900-01-01 23:25:00,Coverage Cell,3.4471544715447155
1900-01-01 23:20:00,Coverage Cell,3.4146341463414642
1900-01-01 23:15:00,Coverage Cell,3.3495934959349594
1900-01-01 23:10:00,Coverage Cell,3.252032520325203
1900-01-02 07:15:00,Coverage Cell,3.577235772357723
1900-01-02 07:20:00,Coverage Cell,3.5447154471544717
1900-01-02 06:55:00,Coverage Cell,3.577235772357723
1900-01-02 00:05:00,Coverage Cell,3.4471544715447155
1900-01-01 23:45:00,Coverage Cell,3.577235772357723
1900-01-01 22:25:00,Coverage Cell,3.577235772357723
1900-01-01 22:30:00,Coverage Cell,3.5121951219512204
1900-01-01 14:40:00,Coverage Cell,3.6097560975609766
1900-01-01 14:45:00,Coverage Cell,3.6097560975609766
1900-01-02 07:35:00,Coverage Cell,3.642276422764228
1900-01-02 00:25:00,Coverage Cell,3.4471544715447155
1900-01-01 21:25:00,Coverage Cell,3.642276422764228
1900-01-01 21:20:00,Coverage Cell,3.6097560975609766
1900-01-01 21:15:00,Coverage Cell,3.5121951219512204
1900-01-02 04:30:00,Coverage Cell,3.6747967479674792
1900-01-01 23:05:00,Coverage Cell,3.642276422764228
1900-01-01 17:10:00,Coverage Cell,3.707317073170733
1900-01-01 17:15:00,Coverage Cell,3.642276422764228
1900-01-01 18:05:00,Coverage Cell,3.739837398373984
1900-01-01 17:25:00,Coverage Cell,3.739837398373984
1900-01-02 07:10:00,Coverage Cell,3.7723577235772354
1900-01-01 23:40:00,Coverage Cell,3.8048780487804867
1900-01-02 06:25:00,Coverage Cell,3.8373983739837403
1900-01-02 06:20:00,Coverage Cell,3.6747967479674792
1900-01-01 21:35:00,Coverage Cell,3.8373983739837403
1900-01-02 07:40:00,Coverage Cell,3.8699186991869916
1900-01-02 07:45:00,Coverage Cell,3.7723577235772354
1900-01-02 06:40:00,Coverage Cell,3.8373983739837403
1900-01-01 21:40:00,Coverage Cell,3.8699186991869916
