time,line color,cell load
637,Coverage Cell,8.105263157894738
639,Coverage Cell,8.140350877192983
639,Coverage Cell,8.421052631578947
641,Coverage Cell,8.456140350877192
641,Coverage Cell,8.491228070175438
639,Coverage Cell,8.526315789473685
648,Coverage Cell,9.368421052631579
646,Coverage Cell,9.333333333333334
646,Coverage Cell,9.192982456140351
643,Coverage Cell,9.157894736842104
643,Coverage Cell,9.017543859649122
641,Coverage Cell,8.982456140350877
641,Coverage Cell,8.771929824561404
639,Coverage Cell,8.736842105263158
639,Coverage Cell,8.701754385964913
643,Coverage Cell,8.701754385964913
643,Coverage Cell,8.842105263157896
646,Coverage Cell,8.87719298245614
646,Coverage Cell,9.087719298245613
648,Coverage Cell,9.12280701754386
648,Coverage Cell,9.192982456140351
650,Coverage Cell,9.228070175438596
652,Coverage Cell,9.192982456140351
652,Coverage Cell,9.157894736842104
657,Coverage Cell,9.087719298245613
657,Coverage Cell,8.982456140350877
659,Coverage Cell,8.94736842105263
659,Coverage Cell,8.771929824561404
661,Coverage Cell,8.736842105263158
661,Coverage Cell,8.631578947368421
663,Coverage Cell,8.596491228070175
663,Coverage Cell,8.421052631578947
665,Coverage Cell,8.385964912280702
665,Coverage Cell,8.24561403508772
668,Coverage Cell,8.210526315789474
668,Coverage Cell,8.140350877192983
670,Coverage Cell,8.105263157894738
670,Coverage Cell,8.035087719298247
672,Coverage Cell,8.0
672,Coverage Cell,7.894736842105264
674,Coverage Cell,7.894736842105264
674,Coverage Cell,7.964912280701755
672,Coverage Cell,8.0
672,Coverage Cell,8.140350877192983
670,Coverage Cell,8.17543859649123
670,Coverage Cell,8.315789473684209
668,Coverage Cell,8.350877192982455
668,Coverage Cell,8.456140350877192
665,Coverage Cell,8.491228070175438
665,Coverage Cell,8.701754385964913
663,Coverage Cell,8.736842105263158
663,Coverage Cell,8.87719298245614
661,Coverage Cell,8.912280701754387
661,Coverage Cell,9.052631578947368
659,Coverage Cell,9.087719298245613
659,Coverage Cell,9.228070175438596
657,Coverage Cell,9.263157894736842
657,Coverage Cell,9.298245614035087
652,Coverage Cell,9.368421052631579
531,Coverage Cell,10.24561403508772
526,Coverage Cell,10.17543859649123
526,Coverage Cell,10.105263157894736
524,Coverage Cell,10.070175438596491
524,Coverage Cell,10.0
522,Coverage Cell,9.964912280701753
522,Coverage Cell,9.929824561403509
520,Coverage Cell,9.894736842105264
520,Coverage Cell,9.789473684210526
518,Coverage Cell,9.75438596491228
518,Coverage Cell,9.649122807017543
515,Coverage Cell,9.6140350877193
515,Coverage Cell,9.578947368421053
513,Coverage Cell,9.543859649122808
513,Coverage Cell,9.508771929824562
511,Coverage Cell,9.473684210526317
511,Coverage Cell,9.403508771929825
509,Coverage Cell,9.368421052631579
509,Coverage Cell,9.333333333333334
504,Coverage Cell,9.263157894736842
504,Coverage Cell,9.228070175438596
502,Coverage Cell,9.192982456140351
500,Coverage Cell,9.192982456140351
500,Coverage Cell,9.12280701754386
498,Coverage Cell,9.087719298245613
498,Coverage Cell,9.052631578947368
496,Coverage Cell,9.017543859649122
496,Coverage Cell,8.982456140350877
491,Coverage Cell,8.912280701754387
491,Coverage Cell,8.842105263157896
489,Coverage Cell,8.80701754385965
489,Coverage Cell,8.771929824561404
487,Coverage Cell,8.736842105263158
487,Coverage Cell,8.666666666666668
484,Coverage Cell,8.631578947368421
484,Coverage Cell,8.596491228070175
482,Coverage Cell,8.56140350877193
482,Coverage Cell,8.526315789473685
480,Coverage Cell,8.491228070175438
480,Coverage Cell,8.456140350877192
478,Coverage Cell,8.421052631578947
478,Coverage Cell,8.350877192982455
476,Coverage Cell,8.315789473684209
473,Coverage Cell,8.315789473684209
471,Coverage Cell,8.280701754385964
465,Coverage Cell,8.385964912280702
465,Coverage Cell,8.421052631578947
462,Coverage Cell,8.456140350877192
462,Coverage Cell,8.526315789473685
460,Coverage Cell,8.56140350877193
460,Coverage Cell,8.596491228070175
456,Coverage Cell,8.666666666666668
456,Coverage Cell,8.701754385964913
454,Coverage Cell,8.701754385964913
451,Coverage Cell,8.736842105263158
451,Coverage Cell,8.771929824561404
449,Coverage Cell,8.80701754385965
447,Coverage Cell,8.771929824561404
447,Coverage Cell,8.736842105263158
445,Coverage Cell,8.701754385964913
445,Coverage Cell,8.666666666666668
443,Coverage Cell,8.631578947368421
443,Coverage Cell,8.56140350877193
440,Coverage Cell,8.526315789473685
440,Coverage Cell,8.421052631578947
438,Coverage Cell,8.385964912280702
438,Coverage Cell,8.315789473684209
436,Coverage Cell,8.280701754385964
436,Coverage Cell,8.17543859649123
434,Coverage Cell,8.140350877192983
434,Coverage Cell,8.070175438596491
432,Coverage Cell,8.035087719298247
432,Coverage Cell,7.824561403508772
429,Coverage Cell,7.789473684210526
429,Coverage Cell,7.684210526315789
427,Coverage Cell,7.649122807017543
427,Coverage Cell,7.5438596491228065
425,Coverage Cell,7.50877192982456
425,Coverage Cell,7.36842105263158
423,Coverage Cell,7.333333333333334
423,Coverage Cell,7.192982456140351
420,Coverage Cell,7.157894736842105
420,Coverage Cell,7.017543859649122
418,Coverage Cell,6.982456140350877
418,Coverage Cell,6.947368421052631
416,Coverage Cell,6.912280701754385
416,Coverage Cell,6.8771929824561395
412,Coverage Cell,6.807017543859648
409,Coverage Cell,6.807017543859648
407,Coverage Cell,6.842105263157894
407,Coverage Cell,6.8771929824561395
405,Coverage Cell,6.912280701754385
405,Coverage Cell,6.701754385964913
409,Coverage Cell,6.701754385964913
412,Coverage Cell,6.666666666666668
414,Coverage Cell,6.666666666666668
416,Coverage Cell,6.701754385964913
416,Coverage Cell,6.807017543859648
420,Coverage Cell,6.8771929824561395
420,Coverage Cell,6.947368421052631
423,Coverage Cell,6.982456140350877
423,Coverage Cell,7.052631578947368
425,Coverage Cell,7.087719298245614
425,Coverage Cell,7.2631578947368425
427,Coverage Cell,7.298245614035088
427,Coverage Cell,7.36842105263158
429,Coverage Cell,7.403508771929825
429,Coverage Cell,7.5438596491228065
432,Coverage Cell,7.578947368421051
432,Coverage Cell,7.719298245614034
434,Coverage Cell,7.754385964912281
434,Coverage Cell,7.894736842105264
436,Coverage Cell,7.9298245614035086
436,Coverage Cell,8.070175438596491
438,Coverage Cell,8.105263157894738
438,Coverage Cell,8.17543859649123
440,Coverage Cell,8.210526315789474
440,Coverage Cell,8.350877192982455
443,Coverage Cell,8.385964912280702
443,Coverage Cell,8.491228070175438
445,Coverage Cell,8.526315789473685
445,Coverage Cell,8.56140350877193
447,Coverage Cell,8.596491228070175
447,Coverage Cell,8.631578947368421
449,Coverage Cell,8.666666666666668
451,Coverage Cell,8.666666666666668
454,Coverage Cell,8.631578947368421
454,Coverage Cell,8.56140350877193
460,Coverage Cell,8.456140350877192
460,Coverage Cell,8.385964912280702
462,Coverage Cell,8.350877192982455
462,Coverage Cell,8.315789473684209
469,Coverage Cell,8.210526315789474
476,Coverage Cell,8.210526315789474
480,Coverage Cell,8.280701754385964
480,Coverage Cell,8.315789473684209
482,Coverage Cell,8.350877192982455
482,Coverage Cell,8.421052631578947
484,Coverage Cell,8.456140350877192
484,Coverage Cell,8.526315789473685
489,Coverage Cell,8.596491228070175
489,Coverage Cell,8.666666666666668
491,Coverage Cell,8.701754385964913
491,Coverage Cell,8.736842105263158
493,Coverage Cell,8.771929824561404
493,Coverage Cell,8.80701754385965
496,Coverage Cell,8.842105263157896
496,Coverage Cell,8.912280701754387
500,Coverage Cell,8.982456140350877
500,Coverage Cell,9.017543859649122
502,Coverage Cell,9.052631578947368
502,Coverage Cell,9.087719298245613
509,Coverage Cell,9.192982456140351
509,Coverage Cell,9.228070175438596
511,Coverage Cell,9.263157894736842
511,Coverage Cell,9.298245614035087
513,Coverage Cell,9.333333333333334
513,Coverage Cell,9.403508771929825
515,Coverage Cell,9.43859649122807
515,Coverage Cell,9.473684210526317
518,Coverage Cell,9.508771929824562
518,Coverage Cell,9.578947368421053
520,Coverage Cell,9.6140350877193
520,Coverage Cell,9.684210526315788
522,Coverage Cell,9.719298245614034
522,Coverage Cell,9.82456140350877
524,Coverage Cell,9.859649122807017
524,Coverage Cell,9.929824561403509
526,Coverage Cell,9.964912280701753
526,Coverage Cell,10.0
529,Coverage Cell,10.035087719298247
529,Coverage Cell,10.070175438596491
533,Coverage Cell,10.140350877192983
535,Coverage Cell,10.140350877192983
537,Coverage Cell,10.105263157894736
537,Coverage Cell,9.964912280701753
540,Coverage Cell,9.929824561403509
540,Coverage Cell,9.82456140350877
542,Coverage Cell,9.789473684210526
542,Coverage Cell,9.649122807017543
544,Coverage Cell,9.6140350877193
544,Coverage Cell,9.403508771929825
546,Coverage Cell,9.368421052631579
546,Coverage Cell,9.192982456140351
548,Coverage Cell,9.157894736842104
548,Coverage Cell,8.94736842105263
551,Coverage Cell,8.912280701754387
551,Coverage Cell,8.701754385964913
553,Coverage Cell,8.666666666666668
553,Coverage Cell,8.491228070175438
555,Coverage Cell,8.456140350877192
555,Coverage Cell,8.771929824561404
553,Coverage Cell,8.80701754385965
553,Coverage Cell,9.052631578947368
551,Coverage Cell,9.087719298245613
551,Coverage Cell,9.263157894736842
548,Coverage Cell,9.298245614035087
548,Coverage Cell,9.473684210526317
546,Coverage Cell,9.508771929824562
546,Coverage Cell,9.684210526315788
544,Coverage Cell,9.719298245614034
544,Coverage Cell,9.859649122807017
542,Coverage Cell,9.894736842105264
542,Coverage Cell,10.035087719298247
540,Coverage Cell,10.070175438596491
540,Coverage Cell,10.17543859649123
535,Coverage Cell,10.24561403508772
1312,Coverage Cell,18.31578947368421
1312,Coverage Cell,18.280701754385966
1308,Coverage Cell,18.210526315789473
1308,Coverage Cell,18.175438596491226
1305,Coverage Cell,18.140350877192983
1305,Coverage Cell,18.070175438596493
1303,Coverage Cell,18.035087719298247
1303,Coverage Cell,17.894736842105264
1301,Coverage Cell,17.859649122807017
1301,Coverage Cell,17.75438596491228
1299,Coverage Cell,17.719298245614034
1299,Coverage Cell,17.57894736842105
1297,Coverage Cell,17.54385964912281
1297,Coverage Cell,17.403508771929825
1294,Coverage Cell,17.36842105263158
1294,Coverage Cell,17.19298245614035
1292,Coverage Cell,17.157894736842106
1292,Coverage Cell,16.982456140350877
1290,Coverage Cell,16.94736842105263
1290,Coverage Cell,16.807017543859647
1288,Coverage Cell,16.771929824561404
1288,Coverage Cell,16.63157894736842
1286,Coverage Cell,16.596491228070175
1286,Coverage Cell,16.45614035087719
1283,Coverage Cell,16.42105263157895
1283,Coverage Cell,16.350877192982455
1281,Coverage Cell,16.31578947368421
1281,Coverage Cell,16.280701754385966
1279,Coverage Cell,16.24561403508772
1279,Coverage Cell,16.175438596491226
1277,Coverage Cell,16.140350877192983
1277,Coverage Cell,16.10526315789474
1275,Coverage Cell,16.070175438596493
1272,Coverage Cell,16.070175438596493
1270,Coverage Cell,16.10526315789474
1270,Coverage Cell,16.140350877192983
1268,Coverage Cell,16.175438596491226
1268,Coverage Cell,16.210526315789473
1264,Coverage Cell,16.280701754385966
1264,Coverage Cell,16.385964912280702
1261,Coverage Cell,16.42105263157895
1261,Coverage Cell,16.45614035087719
1259,Coverage Cell,16.49122807017544
1259,Coverage Cell,16.526315789473685
1257,Coverage Cell,16.56140350877193
1257,Coverage Cell,16.63157894736842
1255,Coverage Cell,16.666666666666668
1246,Coverage Cell,16.666666666666668
1246,Coverage Cell,16.63157894736842
1244,Coverage Cell,16.596491228070175
1241,Coverage Cell,16.596491228070175
1241,Coverage Cell,16.526315789473685
1237,Coverage Cell,16.45614035087719
1237,Coverage Cell,16.31578947368421
1235,Coverage Cell,16.280701754385966
1235,Coverage Cell,16.24561403508772
1233,Coverage Cell,16.210526315789473
1233,Coverage Cell,16.070175438596493
1230,Coverage Cell,16.035087719298247
1230,Coverage Cell,15.92982456140351
1228,Coverage Cell,15.894736842105264
1228,Coverage Cell,15.824561403508772
1226,Coverage Cell,15.789473684210527
1226,Coverage Cell,15.578947368421051
1224,Coverage Cell,15.543859649122806
1224,Coverage Cell,15.438596491228068
1222,Coverage Cell,15.403508771929824
1222,Coverage Cell,15.263157894736842
1219,Coverage Cell,15.228070175438598
1219,Coverage Cell,15.017543859649123
1217,Coverage Cell,14.982456140350877
1217,Coverage Cell,14.80701754385965
1215,Coverage Cell,14.771929824561404
1215,Coverage Cell,14.526315789473685
1213,Coverage Cell,14.491228070175438
1213,Coverage Cell,14.280701754385966
1211,Coverage Cell,14.24561403508772
1211,Coverage Cell,14.0
1208,Coverage Cell,13.964912280701753
1208,Coverage Cell,13.754385964912279
1206,Coverage Cell,13.719298245614036
1206,Coverage Cell,13.298245614035089
1204,Coverage Cell,13.263157894736842
1204,Coverage Cell,12.982456140350877
1202,Coverage Cell,12.947368421052632
1202,Coverage Cell,12.596491228070175
1200,Coverage Cell,12.561403508771928
1200,Coverage Cell,12.24561403508772
1197,Coverage Cell,12.210526315789474
1197,Coverage Cell,11.92982456140351
1195,Coverage Cell,11.894736842105264
1195,Coverage Cell,11.649122807017545
1193,Coverage Cell,11.614035087719298
1193,Coverage Cell,11.228070175438596
1191,Coverage Cell,11.19298245614035
1191,Coverage Cell,11.087719298245613
1188,Coverage Cell,11.052631578947366
1188,Coverage Cell,10.87719298245614
