Cluster,Median_Latitude,Median_Longitude,Count,Percentage
0,41.893497,12.49415,64059,0.45923055001424906
1,41.872524999999996,12.52572,34544,0.20652037617554858
2,41.87185,12.46368,37748,0.33424907381020236
