Cluster,Median_Latitude,Median_Longitude,Count,Percentage
0,41.8714,12.46424,40286,0.45923055001424906
1,41.87489,12.523029,18117,0.20652037617554858
2,41.89325,12.49444,29322,0.33424907381020236
