Cluster,Median_Latitude,Median_Longitude,Count,Percentage
0,41.8714046060925,12.464265000000001,32760,0.45923055001424906
1,41.89339,12.49434,30930,0.20652037617554858
2,41.876226,12.521511,3152,0.33424907381020236
