Cluster,Median_Latitude,Median_Longitude,Count,Percentage
0,41.87149,12.51814,23391,0.45923055001424906
1,41.89334,12.494219,60346,0.20652037617554858
2,41.89865,12.47315,5163,0.33424907381020236
